lat,lon,ele
-33.394459675,-70.621984918,521.638
-33.393369469,-70.620076997,513.817
-33.396147014,-70.618803904,522.519
-33.398488659,-70.618907812,586.479
-33.402265655,-70.622329604,520.0
-33.403355785,-70.624704008,520.005
-33.404775889,-70.628955097,524.193
-33.40471249,-70.630814401,524.101
-33.407638183,-70.63745878,533.0
-33.411675825,-70.646009302,541.0
-33.415238473,-70.656865765,543.717
-33.413532774,-70.661450659,537.558
-33.410592816,-70.655738903,535.563
-33.405473229,-70.644349113,530.343
-33.403996018,-70.641492391,527.602
-33.400734495,-70.632969448,520.598
-33.399025013,-70.624977255,515.082
-33.39809843,-70.618890481,585.403
-33.397811719,-70.615620868,548.237
-33.397870102,-70.613762509,559.327
-33.398114629,-70.611019948,654.953
-33.398315416,-70.607339105,735.812
-33.397934167,-70.604514111,648.086
-33.395025823,-70.59835467,648.846
-33.393666624,-70.593674801,661.417
-33.394066318,-70.593227708,661.243
-33.396733515,-70.594265605,657.914
-33.401556158,-70.600497463,645.973
-33.402998504,-70.6033376,634.019
-33.408120099,-70.617049757,633.901
-33.412884162,-70.632566538,536.623
-33.41280426,-70.634889347,538.64
-33.410273992,-70.628731221,527.575
-33.409555598,-70.626839206,523.0
-33.405069786,-70.614592147,651.778
-33.404386599,-70.612715108,703.039
-33.402638221,-70.608015585,742.347
-33.404015974,-70.612235755,717.284
-33.406609413,-70.622061114,550.253
-33.407306631,-70.623949517,526.541
-33.407990074,-70.62677006,526.392
-33.41077445,-70.637128664,539.311
-33.40776555,-70.633274969,531.799
-33.40699889,-70.632776152,533.803
-33.402538023,-70.625598369,518.137
-33.399222067,-70.620335906,526.683
-33.401873681,-70.6223121,520.0
-33.40521639,-70.627578214,523.499
-33.406343051,-70.629023856,525.349
-33.407469523,-70.630469332,526.863
-33.412756282,-70.636283369,539.572
-33.417711428,-70.640218372,553.924
-33.416993336,-70.638326507,549.18
-33.41380857,-70.63028244,574.528
-33.408834078,-70.618469061,617.329
-33.40814827,-70.616590121,656.104
-33.40493746,-70.609512452,785.36
-33.404581299,-70.608103561,747.831
-33.398976446,-70.596679338,652.909
-33.393529295,-70.585317612,671.899
-33.396507986,-70.589155699,668.389
-33.399453425,-70.593918391,656.865
-33.402003813,-70.599131901,644.813
-33.402703706,-70.601011689,640.829
-33.403387944,-70.603355342,632.702
-33.41132245,-70.613011023,719.875
-33.418888047,-70.61797302,607.006
-33.418902552,-70.617509667,608.014
-33.415653193,-70.609476825,621.351
-33.41421769,-70.605701776,622.613
-33.406202656,-70.589589156,658.922
-33.404748626,-70.586748757,670.553
-33.403252738,-70.584825964,677.895
-33.404806367,-70.585369798,661.278
-33.406998132,-70.589164512,657.613
-33.409574072,-70.593447419,654.411
-33.411744582,-70.598175135,657.912
-33.412490133,-70.599135375,640.848
-33.418095472,-70.60728209,624.179
-33.423691599,-70.613548407,613.324
-33.423386189,-70.611219742,614.19
-33.421575492,-70.607435023,620.234
-33.416168562,-70.594217946,638.566
-33.411823425,-70.584294856,664.206
